initialization done
Initialization took 7609.179688000001 milliseconds
Edge from 0 to 65
Edge from 0 to 66
Edge from 0 to 67
Edge from 0 to 68
Edge from 0 to 72
Edge from 0 to 73
Edge from 0 to 74
Edge from 0 to 75
Edge from 0 to 76
Edge from 0 to 334
Edge from 0 to 335
Edge from 0 to 336
Edge from 0 to 340
Edge from 0 to 341
Edge from 0 to 342
Edge from 0 to 696
Edge from 0 to 697
Edge from 0 to 88
Edge from 0 to 89
Edge from 0 to 90
Edge from 0 to 91
Edge from 0 to 92
Edge from 0 to 584
Edge from 0 to 585
Edge from 0 to 737
Edge from 0 to 349
Edge from 0 to 350
Edge from 0 to 351
Edge from 0 to 352
Edge from 0 to 370
Edge from 0 to 361
Edge from 0 to 362
Edge from 0 to 363
Edge from 0 to 28
Edge from 1 to 2
Edge from 1 to 66
Edge from 1 to 67
Edge from 1 to 68
Edge from 1 to 72
Edge from 1 to 73
Edge from 1 to 74
Edge from 1 to 75
Edge from 1 to 76
Edge from 1 to 334
Edge from 1 to 335
Edge from 1 to 336
Edge from 1 to 340
Edge from 1 to 341
Edge from 1 to 342
Edge from 1 to 696
Edge from 1 to 697
Edge from 1 to 88
Edge from 1 to 89
Edge from 1 to 90
Edge from 1 to 91
Edge from 1 to 92
Edge from 1 to 584
Edge from 1 to 585
Edge from 1 to 737
Edge from 1 to 349
Edge from 1 to 350
Edge from 1 to 351
Edge from 1 to 352
Edge from 1 to 370
Edge from 1 to 361
Edge from 1 to 362
Edge from 1 to 363
Edge from 1 to 364
Edge from 1 to 724
Edge from 1 to 725
Edge from 1 to 28
Edge from 1 to 0
Edge from 2 to 65
Edge from 2 to 66
Edge from 2 to 67
Edge from 2 to 75
Edge from 2 to 76
Edge from 2 to 334
Edge from 2 to 335
Edge from 2 to 336
Edge from 2 to 340
Edge from 2 to 341
Edge from 2 to 342
Edge from 2 to 696
Edge from 2 to 697
Edge from 2 to 698
Edge from 2 to 699
Edge from 2 to 345
Edge from 2 to 88
Edge from 2 to 89
Edge from 2 to 90
Edge from 2 to 91
Edge from 2 to 92
Edge from 2 to 738
Edge from 2 to 349
Edge from 2 to 350
Edge from 2 to 351
Edge from 2 to 352
Edge from 2 to 739
Edge from 2 to 740
Edge from 2 to 370
Edge from 2 to 361
Edge from 2 to 362
Edge from 2 to 363
Edge from 2 to 364
Edge from 2 to 727
Edge from 2 to 728
Edge from 2 to 745
Edge from 2 to 404
Edge from 2 to 392
Edge from 2 to 393
Edge from 2 to 396
