initialization done
Initialization took 210.70384899999993 milliseconds
Edge from 0 to 58
Edge from 0 to 59
Edge from 0 to 60
Edge from 0 to 61
Edge from 0 to 62
Edge from 0 to 63
Edge from 0 to 64
Edge from 0 to 65
Edge from 0 to 67
Edge from 0 to 68
Edge from 0 to 69
Edge from 0 to 70
Edge from 0 to 71
Edge from 0 to 72
Edge from 0 to 97
Edge from 0 to 98
Edge from 0 to 99
Edge from 0 to 100
Edge from 0 to 101
Edge from 0 to 102
Edge from 0 to 103
Edge from 0 to 104
Edge from 0 to 105
Edge from 0 to 106
Edge from 0 to 107
Edge from 0 to 108
Edge from 0 to 109
Edge from 0 to 110
Edge from 0 to 111
Edge from 0 to 112
Edge from 0 to 113
Edge from 0 to 114
Edge from 0 to 115
Edge from 0 to 15
Edge from 1 to 2
Edge from 1 to 58
Edge from 1 to 59
Edge from 1 to 60
Edge from 1 to 61
Edge from 1 to 62
Edge from 1 to 63
Edge from 1 to 64
Edge from 1 to 65
Edge from 1 to 67
Edge from 1 to 68
Edge from 1 to 69
Edge from 1 to 70
Edge from 1 to 71
Edge from 1 to 72
Edge from 1 to 98
Edge from 1 to 99
Edge from 1 to 100
Edge from 1 to 101
Edge from 1 to 102
Edge from 1 to 0
Edge from 2 to 3
Edge from 2 to 58
Edge from 2 to 59
Edge from 2 to 60
Edge from 2 to 61
Edge from 2 to 62
Edge from 2 to 63
Edge from 2 to 64
Edge from 2 to 65
Edge from 2 to 67
Edge from 2 to 68
Edge from 2 to 69
Edge from 2 to 70
Edge from 2 to 71
Edge from 2 to 72
Edge from 2 to 99
Edge from 2 to 100
Edge from 2 to 101
Edge from 2 to 102
Edge from 2 to 103
Edge from 2 to 104
Edge from 2 to 105
Edge from 2 to 106
Edge from 2 to 107
Edge from 2 to 108
Edge from 2 to 109
Edge from 2 to 110
Edge from 2 to 111
Edge from 2 to 112
Edge from 2 to 113
Edge from 2 to 114
Edge from 2 to 115
Edge from 2 to 0
Edge from 3 to 58
Edge from 3 to 59
Edge from 3 to 60
Edge from 3 to 61
