initialization done
Initialization took 8.668758000000025 milliseconds
Edge from 0 to 12
Edge from 1 to 0
Edge from 1 to 12
Edge from 2 to 3
Edge from 2 to 1
Edge from 3 to 12
Edge from 4 to 9
Edge from 4 to 6
Edge from 4 to 5
Edge from 4 to 3
Edge from 4 to 2
Edge from 4 to 1
Edge from 5 to 9
Edge from 5 to 6
Edge from 5 to 2
Edge from 6 to 9
Edge from 6 to 8
Edge from 6 to 7
Edge from 7 to 9
Edge from 7 to 8
Edge from 8 to 9
Edge from 9 to 10
Edge from 10 to 12
Edge from 11 to 10
Edge from 11 to 12
Edge from 13 to 12
Edge from 13 to 0
