initialization done
Initialization took 13.172585000000026 milliseconds
Edge from 0 to 12
Edge from 1 to 0
Edge from 1 to 12
Edge from 2 to 3
Edge from 2 to 1
Edge from 4 to 16
Edge from 4 to 15
Edge from 4 to 14
Edge from 4 to 9
Edge from 4 to 6
Edge from 4 to 5
Edge from 4 to 3
Edge from 4 to 2
Edge from 4 to 1
Edge from 5 to 15
Edge from 5 to 14
Edge from 5 to 9
Edge from 5 to 6
Edge from 6 to 14
Edge from 6 to 21
Edge from 6 to 9
Edge from 6 to 8
Edge from 6 to 7
Edge from 7 to 21
Edge from 7 to 9
Edge from 7 to 8
Edge from 8 to 21
Edge from 8 to 9
Edge from 9 to 21
Edge from 9 to 10
Edge from 10 to 21
Edge from 10 to 12
Edge from 11 to 10
Edge from 11 to 12
Edge from 12 to 21
Edge from 13 to 12
Edge from 13 to 0
Edge from 14 to 21
Edge from 14 to 9
Edge from 14 to 8
Edge from 14 to 7
Edge from 15 to 14
Edge from 15 to 8
Edge from 15 to 7
Edge from 15 to 6
Edge from 16 to 15
Edge from 16 to 14
Edge from 16 to 8
Edge from 16 to 6
Edge from 16 to 5
Edge from 17 to 20
Edge from 17 to 19
Edge from 17 to 18
Edge from 17 to 16
Edge from 17 to 5
Edge from 17 to 4
Edge from 19 to 20
Edge from 19 to 18
Edge from 20 to 21
